,sentence
1246,It is used as a discount rate in determining the present value of future cash flows associated with capital projects.
1247,"Cost of capital  is  also  called  as  cut-off  rate,  target  rate,  hurdle  rate  and  required  rate  of  return."
1248,"When  the  firms  are  using  different  sources  of  finance,  the  finance  manager  must  take careful decision with regard to the cost of capital; because it is closely associated with the value of the firm and the earning capacity of the firm."
1249,Meaning of Cost of Capital Cost  of  capital  is  the  rate  of  return  that  a  firm  must  earn  on  its  project  investments  to maintain its market value and attract funds.
1250,"Cost of capital is the required rate of return on its investments which belongs to equity, debt and retained earnings."
1251,"If a firm fails to earn return at the expected rate, the market value  of  the  shares  will  fall  and  it  will  result  in  the  reduction  of  overall  wealth  of  the shareholders."
1252,Definitions The following important definitions are commonly used to understand the meaning and concept of the cost of capital.
1253,According to the definition of John J. Hampton     Cost of capital is the rate of return the firm required from investment in order to increase the value of the firm in the market place   .
1254,"According to the definition of Solomon Ezra,    Cost of capital is the minimum required  rate of earnings or the cut-off rate of capital expenditure   ."
1255,"66  Financial Management  According to the definition of James C. Van Horne, Cost of capital is    A cut-off rate for the allocation of capital to investment of projects."
1256,It is the rate of return on a project that will leave unchanged the market price of the stock   .
1257,"According to the definition of William and Donaldson,    Cost of capital may be defined as  the  rate  that  must  be  earned  on  the  net  proceeds  to  provide  the  cost  elements  of  the burden at the time they are due   ."
1258,Assumption of Cost of Capital Cost of capital is based on certain assumptions which are closely associated while calculating and measuring the cost of capital.
1259,It is to be considered that there are three basic concepts:  1.
1260,It is not a cost as such.
1261,It is merely a hurdle rate.
1262,2.
1263,It is the minimum rate of return.
1264,3.
1265,"It consis of three important risks such as zero risk level, business risk and financial risk."
1266,Cost of capital can be measured with the help of the following equation.
1267,"Where,  K = rj + b + f.  K = Cost of capital."
1268,rj = The riskless cost of the particular type of finance.
1269,b = The business risk premium.
1270,f = The financial risk premium.
1271,CLASSIFICATION OF COST OF CAPITAL Cost of capital may be classified into the following types on the basis of nature and usage:  (cid:127) Explicit and Implicit Cost.
1272,(cid:127) Average and Marginal Cost.
1273,(cid:127) Historical and Future Cost.
1274,(cid:127) Specific and Combined Cost.
1275,Explicit and Implicit Cost The cost of capital may be explicit or implicit cost on the basis of the computation of cost of capital.
1276,Explicit cost is the rate that the firm pays to procure financing.
1277,"This may be calculated  with the help of the following equation;  CO  +   n  t t (t C)  CIo =  = t 1  Where,  CIo = initial cash inflow  C = outflow in the period concerned  Cost of Captial  67  N = duration for which the funds are provided T = tax rate  Implicit cost is the rate of return associated with the best investment opportunity for the  firm  and  its  shareholders  that  will  be  forgone  if  the  projects  presently  under consideration by the firm were accepted."
1278,Average and Marginal Cost Average cost of capital is the weighted average cost of each component of capital employed by the company.
1279,"It considers weighted average cost of all kinds of financing such as equity, debt, retained earnings etc."
1280,Marginal cost is the weighted average cost of new finance raised by the company.
1281,It is  the additional cost of capital when the company goes for further raising of finance.
1282,Historical and Future Cost Historical cost is the cost which as already been incurred for financing a particular project.
1283,It is based on the actual cost incurred in the previous project.
1284,Future cost is the expected cost of financing in the proposed project.
1285,Expected cost is  calculated on the basis of previous experience.
1286,"Specific and Combine Cost The cost of each sources of capital such as equity, debt, retained earnings and loans is called as specific cost of capital."
1287,It is very useful to determine the each and every specific source of capital.
1288,The composite or combined cost of capital is the combination of all sources of capital.
1289,It is also called as overall cost of capital.
1290,It is used to understand the total cost associated with the total finance of the firm.
1291,IMPORTANCE OF COST OF CAPITAL Computation  of  cost  of  capital  is  a  very  important  part  of  the  financial  management  to decide the capital structure of the business concern.
1292,Importance to Capital Budgeting Decision Capital budget decision largely depends on the cost of capital of each source.
1293,"According to net  present  value  method,  present  value  of  cash  inflow  must  be  more  than  the  present value of cash outflow."
1294,"Hence, cost of capital is used to capital budgeting decision."
1295,Importance to Structure Decision Capital  structure  is  the  mix  or  proportion  of  the  different  kinds  of  long  term  securities.
1296,A firm uses particular type of sources if the cost of capital is suitable.
1297,"Hence, cost of capital helps to take decision regarding structure."
1298,"68  Financial Management  Importance to Evolution of Financial Performance Cost of capital is one of the important determine which affects the capital budgeting, capital structure and value of the firm."
1299,"Hence, it helps to evaluate the financial performance of the firm."
1300,"Importance to Other Financial Decisions Apart from the above points, cost of capital is also used in some other areas such as, market value of share, earning capacity of securities etc."
1301,"hence, it plays a major part in the financial management."
1302,COMPUTATION OF COST OF CAPITAL Computation of cost of capital consists of two important parts:  1.
1303,Measurement of specific costs 2.
1304,Measurement of overall cost of capital  Measurement of Cost of Capital It refers to the cost of each specific sources of finance like:  (cid:127) Cost of equity (cid:127) Cost of debt (cid:127) Cost of preference share (cid:127) Cost of retained earnings  Cost of Equity Cost of equity capital is the rate at which investors discount the expected dividends of the firm to determine its share value.
1305,Conceptually  the  cost  of  equity  capital  (Ke)  defined  as  the     Minimum  rate  of  return that a firm must earn on the equity financed portion of an investment project in order to leave unchanged the market price of the shares   .
1306,Cost of equity can be calculated from the following approach: (cid:127) Dividend  price  (D/P)  approach (cid:127) Dividend price plus growth (D/P + g) approach (cid:127) Earning price (E/P) approach (cid:127) Realized yield approach.
1307,Dividend Price Approach The cost of equity capital will be that rate of expected dividend which will maintain the present market price of equity shares.
1308,"Dividend price approach can be measured with the help of the following formula:  K =  e  D N  p  Cost of Captial  Where,  Ke = Cost of equity capital D   = Dividend per equity share Np = Net proceeds of an equity share  69   Exercise 1 A  company  issues  10,000  equity  shares  of  Rs."
1309,100  each  at  a  premium  of  10%.
1310,The company has been paying 25% dividend to equity shareholders for the past five years and expects to maintain the same in the future also.
1311,Compute the cost of equity capital.
1312,Will it make any difference if the market price of equity share is Rs.
1313,175?
1314,Solution  Ke =  =  D N p 25 100     100  = 22.72%  If the market price of a equity share is Rs.
1315,175.
1316,=  K  e  D N  p  =  25 175      100  = 14.28%  Dividend Price Plus Growth Approach The cost of equity is calculated on the basis of the expected dividend rate per share plus growth in dividend.
1317,"It can be measured with the help of the following formula:  =  K  e  +  g  D N  p  Where,   Ke = Cost of equity capital D   = Dividend per equity share  g   = Growth in expected dividend Np = Net proceeds of an equity share  Exercise  2 (a) A  company  plans  to  issue  10000  new  shares  of  Rs."
1318,100  each  at  a  par.
1319,The floatation  costs  are  expected  to  be  4%  of  the  share  price.
1320,The  company  pays  a dividend of Rs.
1321,12 per share initially and growth in dividends is expected to be 5%.
1322,Compute  the  cost  of  new  issue  of  equity  shares.
1323,70  Financial Management  (b)  If  the  current  market  price  of  an  equity  share  is  Rs.
1324,120.
1325,Calculate  the  cost  of existing  equity  share  capital  Solution  (a)  (b)  Ke=  +g  D N  p 12 =     100 4  +5=17.5%  Ke=  + g  D N  p 12 120  =  +5%=15%  Exercise  3 The  current  market  price  of  the  shares  of  A  Ltd.  is  Rs.
1326,95.
1327,The  floatation  costs  are Rs.
1328,5  per  share  amounts  to  Rs.
1329,4.50  and  is  expected  to  grow  at  a  rate  of  7%.
1330,You  are required to calculate the cost of equity  share capital.
1331,Solution Market price Rs.
1332,95 Dividend Rs.
1333,4.50 Growth  7%.
1334,Ke =  =  + g  p  D N 4.50 95     100 + 7%  = 4.73%  +  7%  = 11.73%  Earning Price Approach Cost of equity determines the market price of the shares.
1335,It is based on the future earning prospects  of  the  equity.
1336,The  formula  for  calculating  the  cost  of  equity  according  to  this approach is as follows.
1337,"=  K  e  E N  p  Where,  Ke = Cost of equity capital E = Earning per share Np = Net proceeds of an equity share  Cost of Captial  71  Exercise  4 A  firm  is  considering  an  expenditure  of  Rs."
1338,75  lakhs  for  expanding  its  operations.
1339,The relevant information is as follows :  Number of existing equity shares =10 lakhs Market value of existing share =Rs.100 Net earnings Compute the cost of existing equity share capital and of new equity capital assuming that new shares will be issued at a price of Rs.
1340,92 per share and the costs of new issue will be  Rs.
1341,2 per share.
1342,=Rs.100 lakhs  Solution Cost of existing equity share capital:  Ke =  Earnings  Per  Share(EPS)  =  p  E N 100 lakhs 10 lakhs   = Rs.10  Ke =  10 100 = 10%     10  Cost of Equity Capital  Ke =  =   E N P 10      92 2      100      = 11.11%  Realized Yield Approach It is the easy method for calculating cost of equity capital.
1343,"Under this method, cost of equity is calculated on the basis of return actually realized by the investor in a company on their equity capital."
1344,"=  eK  PV   Df  Where,  Ke   = Cost of equity capital."
1345,PV   = Present value of discount factor.
1346,D     = Dividend per share.
1347,72  Financial Management  Cost of Debt Cost of debt is the after tax cost of long-term funds through borrowing.
1348,"Debt may be issued at par, at premium or at discount and also it may be perpetual or redeemable."
1349,"Debt Issued at Par Debt issued at par means, debt is issued at the face value of the debt."
1350,It may be calculated with the help of the following formula.
1351,"Kd = (1     t) R  Where,   Kd = Cost of debt capital     t = Tax rate   R = Debenture interest rate  Debt Issued at Premium or Discount If the debt is issued at premium or discount, the cost of debt is calculated with the help of the following formula."
1352,"Kd =  I N (1     t)  p  Where,   Kd = Cost of debt capital     I = Annual interest payable  Np = Net proceeds of debenture     t = Tax rate  Exercise  5 (a) A Ltd. issues Rs."
1353,"10,00,000, 8% debentures at par."
1354,The tax rate applicable to the  company  is  50%.
1355,Compute  the  cost  of  debt  capital.
1356,(b) B  Ltd.  issues  Rs.
1357,"1,00,000,  8%  debentures  at  a  premium  of  10%."
1358,The  tax  rate  applicable  to  the  company  is  60%.
1359,Compute  the  cost  of  debt  capital.
1360,(c) A  Ltd.  issues  Rs.
1361,"1,00,000,  8%  debentures  at  a  discount  of  5%."
1362,"The  tax  rate  is  60%,  compute  the  cost  of  debt  capital."
1363,(d) B Ltd. issues Rs.
1364,"10,00,000,  9% debentures at a premium of 10%."
1365,The costs of  floatation are 2%.
1366,The tax rate applicable is 50%.
1367,Compute the cost of debt-capital.
1368,"In all cases, we have computed the after-tax cost of debt as the firm saves on account  of tax by using debt as a source of finance."
1369,"Solution  (a)  Kda =  I N  p  (1   t)  Cost of Captial  73  =  =  8,000  1,00,000  8,000  1,00,000      (1     0.5)     0.5  = 4% I N  p  Kda =   (1     t)  (b) Np = Face Value + Premium =  1,00,000+10,000=1,10,000  (c)  (d)  =  =  8,000  1,10,000  8,000  1,10,000  = 2.91%      (1     0.6)      0.6  Kda =  I N  p   (1     t)     (1     t)  =  8,000 95,000 = 3.37%  Kda =  I N  p  (1     t), Np= Rs."
1370,"(10,00,000 + 1,00,000)     2 100  =   90,000 10,78,000    (1     0.5)  = 4.17% = 11,00,000     22,000 = Rs."
1371,"10,78,000  Cost of Perpetual Debt and Redeemable Debt It is the rate of return which the lenders expect."
1372,The debt carries a certain rate of interest.
1373,"Kdb =       + I 1 / n(P N )n 1 / n(P N )/ 2  +  p  p  Where,  I = Annual  interest  payable P = Par value of debt Np = Net proceeds of the debenture n = Number of years to maturity  Kdb = Cost of debt before tax."
1374,"74  Financial Management  Cost of debt after tax can be calculated with the help of the following formula:  K = K   (1   t)  d  a  d  b  Where,  Kda = Cost of debt after tax Kdb = Cost of debt before tax      t = Tax rate  Exercise  6 A  company  issues  Rs."
1375,"20,00,000,  10%  redeemable  debentures  at  a  discount  of  5%."
1376,The  costs  of  floatation  amount  to  Rs.
1377,"50,000."
1378,The  debentures  are  redeemable  after  8 years.
1379,Calculate before tax and after tax.
1380,Cost of debt assuring a tax rate of 55%.
1381,"Solution   Kdb =  =       = I 1/n (P N ) p 1 2(P N ) p +  +  20,00,000 1/8(20,00,000 18,50,000)  +  1 2(20,00,000 18,50,000)  +  Note  Np = 20,00,000     10,00,000     50,000 +  2,00,000 18750  =  19,25,000  After Tax Cost of Debt Kdb  = 11.36%."
1382,= Kda (1    t) =11.36  (1   0.55) =5.11%.
1383,Cost of Preference Share Capital Cost of preference share capital is the annual preference share dividend by the net proceeds from the sale of preference share.
1384,There  are  two  types  of  preference  shares  irredeemable  and  redeemable.
1385,"Cost  of redeemable preference share capital is calculated with the help of the following formula:  =  K  p  D N  p  p  Where,  Kp = Cost of preference share Dp = Fixed preference dividend Np = Net proceeds of an equity share  Cost of Captial  75  Cost of irredeemable preference share is calculated with the help of the following formula:  =  K  p       D (P N )/n  + p p (P N )/2  +  p    Where,  Kp = Cost of preference share     Dp = Fixed preference share  P = Par value of debt Np = Net proceeds of the preference share n = Number of maturity period."
1386,"Exercise  7 XYZ Ltd. issues 20,000, 8% preference shares of Rs."
1387,100 each.
1388,Cost of issue is Rs.
1389,2 per share.
1390,"Calculate cost of preference share capital if these shares are issued (a) at par, (b) at a premium of 10% and (c) of a debentures of 6%."
1391,"Solution  Cost of preference share capital Kp =   D N  p  p  (a)  (b)  Kp =  1,60,000  20,00,000 40,000          100  = 8.16%  1,60,000 +  20,00,000 2,00,000 40,000  Kp =  I Kp =  = 7.40%                100    100  1,60,000      20,00,000 1,20,000 40,000 1,60,000 18,40,000    100  =    = 8.69%  Exercise  8 ABC  Ltd.  issues  20,000,  8%  preference  shares  of  Rs."
1392,100  each.
1393,Redeemable  after  8 years  at  a  premium  of  10%.
1394,The  cost  of  issue  is  Rs.
1395,2  per  share.
1396,Calculate  the  cost  of preference share capital.
1397,"=  K  p       D (P N )/n  + p p (P N )/2  +  p  76  Financial Management  =  =  1,60,000 1/8 (22,00,000 19,60,000)  +       1/ 2(22,00,000 19,60,000)  +  1,60,000 30,000  +  20,80,000  where  = 9.13%  Dp = 20,000  100  8%=1,60,000 P = 20,00,000+2,00,000  =22,00,00 Np = 20,00,000      40,000 =19,60,000 n = 8 years  Exercise  9 ABC  Ltd.  issues  20,000,  8%  preference  shares  of  Rs."
1398,100  each  at  a  premium  of  5% redeemable after 8 years at par.
1399,The cost of issue is Rs.
1400,2 per share.
1401,Calculate the cost of preference share capital.
1402,"Solution  =  K  p       D (P N )/n  + p p (P N )/2  +  p  =  =  1,60,000 1/8 (20,00,000 20,60,000)  +       1/2 (20,00,000 20,60,000)  +  1,60,000     7,500  20,30,000  where  = 7.51%  Dp = 20,000  100  8%=1,60,000 P = 20,00,000 n = 8 years Np = 20,00,000 + 10,00,000     40,000 =20,60,000  Cost of Retained Earnings Retained earnings is one of the sources of finance for investment proposal; it is different from other sources like debt, equity and preference shares."
1403,"Cost of retained earnings is the same  as  the  cost  of  an  equivalent  fully  subscripted  issue  of  additional  shares,  which  is measured by the cost of equity capital."
1404,"Cost of retained earnings can be calculated with the help of the following formula:  K =K  (1     t) (1     b)  e  r  Cost of Captial  Where,  Kr = Cost of retained earnings Ke = Cost of equity  t = Tax rate    b = Brokerage cost  77  Exercise  10 A firm   s Ke (return available to shareholders) is 10%, the average tax rate of shareholders is 30% and it is expected that 2% is brokerage cost that shareholders will have to pay while investing their dividends in alternative securities."
1405,What is the cost of retained earnings?
1406,"Solution  Cost of Retained Earnings, Kr = Ke (1     t) (1     b)  Where,  So,  Ke = rate of return available to shareholders  t = tax rate b = brokerage  cost Kr = 10% (1    0.5)  (1   0.02)  = 10%  0.5  0.98 = 4.9%  Measurement of Overall Cost of Capital It is also called as weighted average cost of capital and composite cost of capital."
1407,Weighted average cost of capital is the expected average future cost of funds over the long run found by weighting the cost of each specific type of capital by its proportion in the firms capital structure.
1408,The computation of the overall cost of capital (Ko) involves the following steps.
1409,(a) Assigning  weights  to  specific  costs.
1410,(b) Multiplying  the  cost  of  each  of  the  sources  by  the  appropriate  weights.
1411,(c) Dividing  the  total  weighted  cost  by  the  total  weights.
1412,"The overall cost of capital can be calculated with the help of the following formula;  Ko = Kd Wd + Kp Wp + Ke We + Kr Wr  Where,  Ko = Overall cost of capital Kd = Cost of debt Kp = Cost of preference share Ke = Cost of equity Kr = Cost of retained earnings Wd= Percentage of debt of total capital  78  Financial Management  Wp = Percentage of preference share to total capital We = Percentage of equity to total capital Wr = Percentage of retained earnings Weighted average cost of capital is calculated in the following formula also:  K  w     XW    W    Where,  Kw = Weighted average cost of capital   X = Cost of specific sources of finance  W = Weight, proportion of specific sources of finance."
1413,Exercise  11 A firm has the following capital structure and after-tax costs for the different sources  of funds used :  Source of Funds  Debt Preference  Shares Equity Shares Retained  Earnings  Total  Amount  Rs.
1414,"12,000 15,000 18,000 15,000  60,000  Proportion  % 20 25 30 25  100  After-tax  cost  % 4  8 12 11  You are required to compute the weighted average cost of capital."
1415,Exercise  12 A  company  has  on  its  books  the  following  amounts  and  specific  costs  of  each  type  of  capital.
1416,Type of Capital  Debt Preference Equity Retained  Earnings  Book Value  Rs.
1417,"4,00,000 1,00,000 6,00,000 2,00,000                 13,00,000                  Market Value     Rs."
1418,"3,80,000   1,10,000   9,00,000   3,00,000                 16,90,000                  Specific Costs (%)  5 8 15 13  Cost of Captial  79  Determine the weighted average cost of capital using: (a) Book  value  weights,  and (b) Market  value  weights."
1419,How are they different?
1420,Can you think of a situation where the weighted average cost (MBA     P.U.
1421,Nov. 2005)  of capital would be the same using either of the weights?
1422,Solution  A.
1423,Book Value Source of Funds  Debt Preference  Shares Equity Shares Retained  Earnings  B.
1424,"Market Value  Source of Funds  Debt Preference  Shares Equity Shares Retained  Earnings  Computation of Weighted Average Cost of Capital  Amount  Cost % (X)          Weighted Cost Proportion X Cost (XW)  5 8 15 13  20,000 8,000 90,000 26,000   XW = 1,44,000  4,00,000 1,00,000 6,00,000 2,00,000   W = 13,00,000  Kw =     XW    W  Kw =  1,44,000 13,00,000    100 = 11.1%  Computation Weighted Average Cost of Capital  Amount  Cost % (X)  Weighted Cost Proportion X Cost (XW)  5 8 15 13  19,000 8,800 13,500 39,000   XW = 2,01,800  3,80,000 1,10,000 9,00,000 3,00,000   W = 16,90,000  =  K  w     XW    W  Kw =  2,01,800 16,90,000     100 = 11.9%  80  Financial Management  Exercise  13 ABC Ltd. has the following capital structure."
1425,"Equity  (expected  dividend  12%) 10%  preference 8% loan You are required to calculate the weighted average cost of capital, assuming 50% as the  10,00,000 5,00,000 15,00,000  Rs."
1426,"rate of income-tax, before and after tax."
1427,Solution Solution showing weighted average cost of capital:  Particulars Equity Preference 8%  Loan  Rs.
1428,"10,00,000 5,00,000 15,00,000  After 12% 10%   4%  Weights 33.33% 16.67 50.00  Cost 3.99 1.67 2.00 7.66%  Weight average cost of capital = 7.66%  MODEL QUESTIONS  1."
1429,What  is  cost  of  capital?
1430,2.
1431,Define  cost  of  capital.
1432,3.
1433,Cost  of  capital  computation  based  on  certain  assumptions.
1434,Discuss.
1435,4.
1436,Explain  the  classification  of  cost.
1437,5.
1438,Mention  the  importance  of  cost  of  capital.
1439,6.
1440,Explain  the  computation  of  specific  sources  of  cost  of  capital.
1441,7.
1442,How  over  all  cost  of  capital  is  calculated?
1443,8.
1444,Explain  various  approaches  for  calculation  of  cost  of  equity.
1445,9.
1446,Rama  company  issues  120000  10%  debentures  of  Rs.
1447,10  each  at  a  premium  of 10%.
1448,The  costs  of  floatation  are  4%.
1449,The  rate  of  tax  applicable  to  the  company is  55%.
1450,Complete  the  cost  of  debt  capital.
1451,(Ans.
1452,4.26%) 10.
1453,"Siva Ltd., issues 8000 8% debentures for Rs."
1454,100 each at a discount of 5%.
1455,The commission  payable  to  underwriters  and  brokers  is  Rs.
1456,40000.
1457,The  debentures are  redeemable  after  5  years.
1458,Compute  the  after  tax  cost  of  debt  assuming  a  tax rate  of  60%.
1459,(Ans.
1460,3.69%) 11.
1461,"Bharathi  Ltd.,  issues  4000  12%  preference  shares  of  Rs."
1462,100  each  at  a  discount of  5%.
1463,Costs  of  raising  capital  are  Rs.
1464,8000.
1465,Compute  the  cost  of  preference capital.
1466,(Ans.
1467,12.90%)  Cost of Captial  81  (iii)  12.
1468,Firm pays tax at 60%.
1469,Compute the after tax cost of capital of a preferred share sold  at  Rs.
1470,100  with  a  8%.
1471,"Dividend  and  a  redemption  price  of  Rs.110,  if  the company  redeems  in  five  years."
1472,(Ans.
1473,9.52%) 13.
1474,Your  company  share  is  quoted  in  the  market  at  Rs.
1475,40  currently.
1476,The  company pays a dividend of Rs.
1477,5 per share and the investors market expects a growth rate of  7.5%  per  year: (i) (ii)  Compute  the  company   s  equity  cost  of  capital.
1478,If  the  anticipated  growth  rate  is  10%  p.a.
1479,Calculate  the  indicated  market price  per  share.
1480,If  the  company   s  cost  of  capital  is  15%  and  the  anticipated  growth  rate  is 10%  p.a.
1481,Calculate  the  indicated  market  price  if  the  dividend  of  Rs.
1482,5  per share  is  to  be  maintained.
1483,(Ans.
1484,"(i) 20%, (ii) 1/10%, (iii) 1/5%) 14."
1485,Mr. Subramanian is a shareholder in Alpha Company Ltd.
1486,"Although earnings for the  Alpha  company  have  varied  considerably,  Subramanian  has  determined  that long  turn  average  dividends  for  the  firm  have  been  Rs."
1487,5  per  share.
1488,He  expects a  similar  pattern  to  prevail  in  the  future.
1489,"Given  the  volatility  of  the  Alpha   s minimum  rate  of  40%,  should  it  be  earned  on  a  share,  what  price  would Subramanian  be  willing  to  pay  for  the  Alpha  is  shares?"
1490,(Ans.
1491,Rs.
1492,12.50%) 15.
1493,"A  Beta  Ltd.,  iron  steel  reserves  are  being  depleted  and  its  costs  of  recovering  a declining quantity of iron steel are rising each year."
1494,As a equal to it the company earnings and dividends are declining at a rate of 12% p.a.
1495,If the previous year   s dividend  (DO)  was  Rs.
1496,40  and  the  required  rate  of  return  is  15%.
1497,What  would be  the  current  price  of  the  equity  share  of  the  company?
1498,(Ans.
1499,Rs.
1500,95.14) 16.
1501,The  following  items  have  been  extracted  from  the  liabilities  side  of  the  balance  sheet  of  Vivekananda  company  as  on  31st  December  2004.
1502,Paid  up  capital 2500  Equity  shares  of  Rs.
1503,100  each Reserve  and  Surplus Loans: 10%  Debentures 12%  Institutional  Loans      Rs.
1504,250000 350000  100000 300000   Other information about the company as relevant is given below:  Year ended Market Price 31st  Dec. 2004 2003 2002  Dividend Per  share  (Rs.)
1505,7.00 6.00 7.00  Earnings Per  share  (Rs.)
1506,11.00 10.00    8.00  Average Per  share  (Rs.)
1507,"80.00 60.00 50.00  82  Financial Management  You  are  required  to  calculate  the  weighted  average  cost  of  capital,  using  book values  as  weights  and  earnings/price  (E/P)  ratio  as  the  basis  of  cost  of  equity."
1508,Assume  50%  tax  rate.
1509,(Ans.
1510,Weighted average cost of capital=10.55%) 17.
1511,The  following  is  an  extract  from  the  financial  statements  of  Ramakrishna  Ltd.  Operating  Profit Less:  Interest  on  Debentures  Less:  Income  Tax  (50%) Net  Profit Equity  share  capital  (share  of  Rs.
1512,10) Reserve  and  Surplus 10%  Debentures  (Rs.
1513,Lakhs)  90 24 66 33 33 150 75 150 375  The  market  price  per  equity  share  is  11  and  per  debenture  Rs.
1514,95.
1515,(i) What  is  the  earning  per  share?
1516,(ii) What  is  the  percentage  cost  of  capital  to  the  company  for  the  equity  and (Ans.
1517,(i) Rs.
1518,"2.20, (ii) 20%)  debentures  funds?"
1519,(iii) Cost  of  debenture  funds  Book  Value  =  5% Market  Price  =  5.26%  18.
1520,Raj Ltd. is currently earning Rs.
1521,"2,00,000 and its share is selling at a market price of Rs."
1522,160.
1523,"The firm has 20,000 shares outstanding and has no debt."
1524,"The earnings of the firm are expected to remain stable, and it has a payout ratio of 100%."
1525,What is  the  cost  of  equity?
1526,If  the  firms  earns  15%  rate  of  return  on  its  investment opportunities  then  what  would    be  the  firm   s  cost  of  equity  if  the  payout  ratio is  60%?
1527,(Ans.
1528,"(i) When the payout ratio is 100%, 12.5% (ii) When the payout ratio is 60%, 13.5%) 19."
1529,Kumar  Industries  Ltd.  has  assets  of  Rs.
1530,80000  which  have  been  financed  with Rs.
1531,"26,000  of  debt  and  Rs."
1532,"45,000  of  equity  and  a  general  reserve  of  Rs."
1533,"9,000 The firm   s total profit after interest and taxes for the year ended 31st March 2,000 were  Rs."
1534,"6,750."
1535,It  pays  10%  interest  on  borrowed  funds  and  is  in  the  60%  tax bracket.
1536,It has 450 equity shares of Rs.
1537,100 each selling at a market price of Rs.
1538,120  per  share.
1539,What  is  the  weighted  average  cost  of  capital?
1540,(i) EPS  Rs.
1541,15 (ii) Cost  of  equity  12.5% (iii) Average  cost  of  capital  9.74.
1542,INTRODUCTION Financial decision is one of the integral and important parts of financial management in any kind of business concern.
1543,"A sound financial decision must consider the board coverage of the financial mix (Capital Structure), total amount of capital (capitalization) and cost of capital (Ko)."
1544,"Capital structure is one of the significant things for the management, since it influences  the  debt  equity  mix  of  the  business  concern,  which  affects  the  shareholder   s return and risk."
1545,"Hence, deciding the debt-equity mix plays a major role in the part of the value of the company and market value of the shares."
1546,The debt equity mix of the company can be examined with the help of leverage.
1547,The concept of leverage is discussed in this part.
1548,Types and effects of leverage is discussed  in the part of EBIT and EPS.
1549,Meaning of Leverage The term leverage refers to an increased means of accomplishing some purpose.
1550,"Leverage is used to lifting heavy objects, which may not be otherwise possible."
1551,"In the financial point of view, leverage refers to furnish the ability to use fixed cost assets or funds to increase the return to its shareholders."
1552,"Definition of Leverage James Horne has defined leverage as,    the employment of an asset or fund for which the firm pays a fixed cost or fixed return."
1553,Types of Leverage Leverage can be classified into three major headings according to the nature of the finance mix of the company.
1554,84  Financial Management  Finacial  Leverage  Leverage  Composite Leverage  Operating  Leverage  Fig.
1555,"7.1 Types of Leverage  The company may use finance or leverage or operating leverage, to increase the EBIT  and EPS."
1556,OPERATING  LEVERAGE The leverage associated with investment activities is called as operating leverage.
1557,It is caused due to fixed operating expenses in the company.
1558,Operating leverage may be defined as the company   s ability to use fixed operating costs to magnify the effects of changes in sales on its earnings before interest and taxes.
1559,"Operating leverage consists of two important costs viz.,  fixed  cost  and  variable  cost."
1560,When  the  company  is  said  to  have  a  high  degree  of operating leverage if it employs a great amount of fixed cost and smaller amount of variable cost.
1561,"Thus,  the  degree  of  operating  leverage  depends  upon  the  amount  of  various  cost structure."
1562,Operating leverage can be determined with the help of a break even analysis.
1563,"Operating leverage can be calculated with the help of the following formula:  OL =  C OP  Where,  OL = Operating  Leverage  C = Contribution  OP = Operating Profits  Degree of Operating Leverage The degree of operating leverage may be defined as percentage change in the profits resulting from a percentage change in the sales."
1564,"It can be calculated with the help of the following formula:  DOL =  Percentage change in profits Percentage change insales  Leverage  85  Exercise  1 From the following  selected  operating  data, determine  the degree of operating  leverage."
1565,Which company has  the greater  amount of business risk?
1566,Why?
1567,Sales Fixed costs  Company A  Rs.
1568,"25,00,000   7,50,000  Company  B  Rs."
1569,"30,00,000  15,00,000  Variable  expenses  as a percentage  of  sales  are  50% for company  A and  25% for  company B."
1570,Solution Statement   of  Profit  Sales Variable  cost Contribution Fixed  cost Operating  Profit  Company A  Rs.
1571,"25,00,000 12,50,000 12,50,000 7,50,000 5,00,000  Company  B  Rs."
1572,"30,00,000 7,50,000 22,50,000 15,00,000 7,50,000  Operating  Leverage = Contribution Operating Profit     A    Company    Leverage =     B    Company  Leverage =  12,50,000 5,00,000 = 2.5 2,25,000 7,50,000  = 3  Comments Operating leverage for B Company is higher than that of A Company; B Company has a higher degree of  operating  risk."
1573,"The tendency  of operating profit may  vary portionately with sales, is higher for B Company as compared to A Company."
1574,Uses of Operating Leverage Operating  leverage  is  one  of  the  techniques  to  measure  the  impact    of  changes  in  sales which lead for change in the profits of the company.
1575,"If any change in the sales, it will lead to corresponding changes in profit."
1576,Operating leverage helps to identify the position of fixed cost and variable cost.
1577,86  Financial Management  Operating  leverage  measures  the  relationship  between  the  sales  and  revenue  of  the  company during a particular period.
1578,Operating leverage helps to understand the level of fixed cost which is invested in the  operating expenses of business activities.
1579,Operating leverage describes the over all position of the fixed operating cost.
1580,FINANCIAL  LEVERAGE Leverage activities with financing activities is called financial leverage.
1581,Financial leverage represents the relationship between the company   s earnings before interest and taxes (EBIT) or operating profit and the earning available to equity shareholders.
1582,Financial leverage is defined as    the ability of a firm to use fixed financial charges to magnify the effects of changes in EBIT on the earnings per share   .
1583,It involves the use of funds  obtained  at  a  fixed  cost  in  the  hope  of  increasing  the  return  to  the  shareholders.
1584,The use of long-term fixed interest bearing debt and preference share capital along with share capital is called financial leverage or trading on equity   .
1585,Financial  leverage may be favourable or unfavourable depends upon the use of fixed  cost  funds.
